               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11251,            0.050946,            0.021897,             0.35167,            0.036503,           0.0093513,           0.0022344,            0.076309,             0.03949,            0.029508,            0.070227,           0.0033081,           0.0033081
                   1,            0.083883,            0.056405,             0.01343,             0.77792,             0.16126,            0.098276,            0.026075,            0.051671,            0.042298,            0.022623,            0.040162,           0.0065757,           0.0065757
                   2,            0.075727,            0.057538,            0.012518,             0.17686,              0.1415,             0.06367,            0.012817,            0.059918,             0.03954,            0.020476,             0.01003,           0.0097772,           0.0097772
                   3,            0.069319,            0.057504,            0.011552,             0.88548,              0.2037,             0.28397,            0.095315,            0.041101,             0.04244,            0.019569,            0.009703,            0.009703,            0.009703
                   4,            0.063907,            0.058016,            0.011504,             0.26989,             0.33397,             0.31483,             0.11413,            0.041977,            0.037247,            0.018288,            0.009703,            0.009703,            0.009703
                   5,            0.061072,            0.055145,           0.0098603,             0.34845,             0.37965,             0.31432,             0.11582,            0.037319,             0.03618,            0.012097,            0.009604,            0.009604,            0.009604
                   6,             0.05941,            0.054022,           0.0079135,             0.46635,             0.54436,             0.43339,              0.1635,            0.039177,            0.037673,            0.010546,            0.009505,            0.009505,            0.009505
                   7,            0.057387,            0.054112,           0.0079289,             0.51272,             0.50263,             0.45583,             0.14202,            0.043296,             0.03627,           0.0095671,            0.009406,            0.009406,            0.009406
                   8,              0.0566,            0.052755,           0.0072954,             0.53057,             0.58542,             0.51094,             0.21703,            0.035858,            0.036639,            0.010091,            0.009307,            0.009307,            0.009307
                   9,            0.056588,            0.054928,           0.0066624,             0.56204,             0.58441,             0.56626,             0.22014,              0.0362,            0.035599,           0.0090583,            0.009208,            0.009208,            0.009208
                  10,            0.055709,            0.054552,             0.00605,             0.62033,             0.58787,             0.59467,             0.25639,            0.033829,            0.034369,           0.0082717,            0.009109,            0.009109,            0.009109
                  11,            0.054452,            0.053571,           0.0062134,             0.61464,             0.61509,             0.61078,             0.26976,            0.034359,            0.034423,           0.0085496,             0.00901,             0.00901,             0.00901
                  12,            0.053751,            0.051328,           0.0059722,             0.57417,             0.63847,              0.5839,             0.22004,            0.036337,            0.035086,           0.0082548,            0.008911,            0.008911,            0.008911
                  13,            0.052683,            0.051454,           0.0059862,             0.59974,              0.5913,             0.60505,             0.27275,            0.033239,             0.03492,           0.0072159,            0.008812,            0.008812,            0.008812
